Time,Total,,
01/01/2030 00:00,40869.63388,,
01/01/2030 01:00,38681.70588,,
01/01/2030 02:00,37378.88244,,
01/01/2030 03:00,33932.88878,,
01/01/2030 04:00,31174.2704,,
01/01/2030 05:00,29194.68462,,
01/01/2030 06:00,26535.35791,,
01/01/2030 07:00,26997.15694,,
01/01/2030 08:00,28402.63271,,
01/01/2030 09:00,32500.05656,,
01/01/2030 10:00,35836.79436,,
01/01/2030 11:00,38691.83847,,
01/01/2030 12:00,40491.00443,,
01/01/2030 13:00,41434.65726,,
01/01/2030 14:00,41592.69481,,
01/01/2030 15:00,39774.85722,,
01/01/2030 16:00,39351.2178,,
01/01/2030 17:00,39178.23582,,
01/01/2030 18:00,39391.79185,,
01/01/2030 19:00,39499.73869,,
01/01/2030 20:00,36926.6526,,
01/01/2030 21:00,36063.73458,,
01/01/2030 22:00,37530.10349,,
01/01/2030 23:00,42321.95607,,
02/01/2030 00:00,38937.23306,,
02/01/2030 01:00,36600.11893,,
02/01/2030 02:00,35939.73284,,
02/01/2030 03:00,32808.12784,,
02/01/2030 04:00,29526.34537,,
02/01/2030 05:00,27182.47122,,
02/01/2030 06:00,24232.82128,,
02/01/2030 07:00,23471.38341,,
02/01/2030 08:00,24426.14961,,
02/01/2030 09:00,28374.52891,,
02/01/2030 10:00,31543.266,,
02/01/2030 11:00,35188.42567,,
02/01/2030 12:00,37252.18569,,
02/01/2030 13:00,38530.87568,,
02/01/2030 14:00,39494.71095,,
02/01/2030 15:00,38067.09743,,
02/01/2030 16:00,38045.66457,,
02/01/2030 17:00,38433.8208,,
02/01/2030 18:00,41421.51077,,
02/01/2030 19:00,45370.22993,,
02/01/2030 20:00,44225.28174,,
02/01/2030 21:00,41902.03009,,
02/01/2030 22:00,39902.44812,,
02/01/2030 23:00,42073.85267,,
03/01/2030 00:00,43631.20128,,
03/01/2030 01:00,41504.50942,,
03/01/2030 02:00,40886.98525,,
03/01/2030 03:00,37923.83506,,
03/01/2030 04:00,34895.16531,,
03/01/2030 05:00,32823.97413,,
03/01/2030 06:00,30363.25202,,
03/01/2030 07:00,30413.75695,,
03/01/2030 08:00,31902.48389,,
03/01/2030 09:00,35586.61012,,
03/01/2030 10:00,37888.97899,,
03/01/2030 11:00,40344.99068,,
03/01/2030 12:00,41640.53577,,
03/01/2030 13:00,42458.23701,,
03/01/2030 14:00,43037.68685,,
03/01/2030 15:00,41571.42967,,
03/01/2030 16:00,41627.07539,,
03/01/2030 17:00,42202.78266,,
03/01/2030 18:00,44763.68898,,
03/01/2030 19:00,48275.32597,,
03/01/2030 20:00,47555.50632,,
03/01/2030 21:00,45852.63877,,
03/01/2030 22:00,44253.30128,,
03/01/2030 23:00,46655.64031,,
04/01/2030 00:00,45471.08349,,
04/01/2030 01:00,42544.44974,,
04/01/2030 02:00,41775.70489,,
04/01/2030 03:00,38775.14514,,
04/01/2030 04:00,35631.22747,,
04/01/2030 05:00,33500.98652,,
04/01/2030 06:00,31198.77643,,
04/01/2030 07:00,32092.39667,,
04/01/2030 08:00,35188.11177,,
04/01/2030 09:00,40091.3961,,
04/01/2030 10:00,42383.98378,,
04/01/2030 11:00,44426.16928,,
04/01/2030 12:00,45312.47949,,
04/01/2030 13:00,45865.24914,,
04/01/2030 14:00,46219.06088,,
04/01/2030 15:00,44650.11491,,
04/01/2030 16:00,44731.91964,,
04/01/2030 17:00,45582.45319,,
04/01/2030 18:00,48750.26355,,
04/01/2030 19:00,52668.95975,,
04/01/2030 20:00,51988.90484,,
04/01/2030 21:00,49895.74576,,
04/01/2030 22:00,47643.70325,,
04/01/2030 23:00,49238.59336,,
05/01/2030 00:00,45281.02548,,
05/01/2030 01:00,42855.18848,,
05/01/2030 02:00,42263.22749,,
05/01/2030 03:00,39474.84513,,
05/01/2030 03:59,36497.90614,,
05/01/2030 04:59,34444.80595,,
05/01/2030 05:59,32023.39025,,
05/01/2030 06:59,32308.90886,,
05/01/2030 07:59,35017.36853,,
05/01/2030 08:59,40112.26736,,
05/01/2030 09:59,41936.23821,,
05/01/2030 10:59,43522.67341,,
05/01/2030 11:59,44058.32128,,
05/01/2030 12:59,44440.05605,,
05/01/2030 13:59,44858.29013,,
05/01/2030 14:59,43401.17175,,
05/01/2030 15:59,43459.85884,,
05/01/2030 16:59,43945.94377,,
05/01/2030 17:59,47090.44003,,
