Time,Total
01/01/2030 00:00,41444.97874
01/01/2030 01:00,39244.75814
01/01/2030 02:00,37937.87834
01/01/2030 03:00,34736.1384
01/01/2030 04:00,32260.72683
01/01/2030 05:00,30063.7888
01/01/2030 06:00,27572.20492
01/01/2030 07:00,28053.25359
01/01/2030 08:00,29473.63697
01/01/2030 09:00,33365.58748
01/01/2030 10:00,36715.44543
01/01/2030 11:00,39584.6108
01/01/2030 12:00,41420.55221
01/01/2030 13:00,42372.36242
01/01/2030 14:00,42530.41165
01/01/2030 15:00,40896.8989
01/01/2030 16:00,40467.09951
01/01/2030 17:00,40290.31148
01/01/2030 18:00,40451.61406
01/01/2030 19:00,40346.28967
01/01/2030 20:00,37883.7498
01/01/2030 21:00,37203.60889
01/01/2030 22:00,38740.80243
01/01/2030 23:00,42902.3318
02/01/2030 00:00,39513.15912
02/01/2030 01:00,37172.92484
02/01/2030 02:00,36521.69888
02/01/2030 03:00,33645.48083
02/01/2030 04:00,30641.91371
02/01/2030 05:00,28076.42375
02/01/2030 06:00,25292.59497
02/01/2030 07:00,24530.58354
02/01/2030 08:00,25512.26406
02/01/2030 09:00,29270.37393
02/01/2030 10:00,32396.51259
02/01/2030 11:00,36042.06334
02/01/2030 12:00,38136.18402
02/01/2030 13:00,39423.78497
02/01/2030 14:00,40403.9764
02/01/2030 15:00,39172.32336
02/01/2030 16:00,39155.04114
02/01/2030 17:00,39552.06737
02/01/2030 18:00,42561.57863
02/01/2030 19:00,46374.95605
02/01/2030 20:00,45315.75685
02/01/2030 21:00,43115.57944
02/01/2030 22:00,41126.56216
02/01/2030 23:00,42640.27193
03/01/2030 00:00,43981.41084
03/01/2030 01:00,41820.14182
03/01/2030 02:00,41179.54018
03/01/2030 03:00,38449.08958
03/01/2030 04:00,35696.1179
03/01/2030 05:00,33402.86041
03/01/2030 06:00,31109.85759
03/01/2030 07:00,31182.83517
03/01/2030 08:00,32682.81795
03/01/2030 09:00,36164.95791
03/01/2030 10:00,38491.61792
03/01/2030 11:00,40951.50523
03/01/2030 12:00,42269.51547
03/01/2030 13:00,43083.92488
03/01/2030 14:00,43650.22427
03/01/2030 15:00,42360.66188
03/01/2030 16:00,42413.42754
03/01/2030 17:00,43004.41814
03/01/2030 18:00,45538.20772
03/01/2030 19:00,48843.41417
03/01/2030 20:00,48265.09922
03/01/2030 21:00,46775.62663
03/01/2030 22:00,45262.84084
03/01/2030 23:00,47026.91932
04/01/2030 00:00,45765.58845
04/01/2030 01:00,42794.05981
04/01/2030 02:00,41996.87561
04/01/2030 03:00,39226.56447
04/01/2030 04:00,36358.08373
04/01/2030 05:00,34005.78853
04/01/2030 06:00,31872.9402
04/01/2030 07:00,32799.51191
04/01/2030 08:00,35911.67982
04/01/2030 09:00,40617.62764
04/01/2030 10:00,42958.17218
04/01/2030 11:00,45003.95741
04/01/2030 12:00,45904.66075
04/01/2030 13:00,46447.43638
04/01/2030 14:00,46780.06656
04/01/2030 15:00,45383.45894
04/01/2030 16:00,45461.87351
04/01/2030 17:00,46330.83001
04/01/2030 18:00,49467.32923
04/01/2030 19:00,53164.49796
04/01/2030 20:00,52639.20084
04/01/2030 21:00,50767.22753
04/01/2030 22:00,48607.69592
04/01/2030 23:00,49562.63641
05/01/2030 00:00,45807.88039
05/01/2030 01:00,43364.12656
05/01/2030 02:00,42768.73445
05/01/2030 03:00,40226.54313
05/01/2030 03:59,37526.82856
05/01/2030 04:59,35251.5961
05/01/2030 05:59,32995.91274
05/01/2030 06:59,33289.44172
05/01/2030 07:59,36013.65211
05/01/2030 08:59,40911.53466
05/01/2030 09:59,42735.52551
05/01/2030 10:59,44328.39428
05/01/2030 11:59,44889.73164
05/01/2030 12:59,45274.38069
05/01/2030 13:59,45696.20099
05/01/2030 14:59,44427.35614
05/01/2030 15:59,44487.77292
05/01/2030 16:59,44983.66844
05/01/2030 17:59,48122.93924
05/01/2030 18:59,51945.80205
05/01/2030 19:59,50862.88535
05/01/2030 20:59,48374.91958
05/01/2030 21:59,46188.74675
05/01/2030 22:59,47875.59233
05/01/2030 23:59,46123.73246
06/01/2030 00:59,43066.07333
06/01/2030 01:59,42178.41653
06/01/2030 02:59,39342.92642
06/01/2030 03:59,36372.13654
06/01/2030 04:59,33887.47255
06/01/2030 05:59,31464.86565
06/01/2030 06:59,31866.17944
06/01/2030 07:59,34848.77456
06/01/2030 08:59,40087.32593
06/01/2030 09:59,42595.15561
06/01/2030 10:59,44886.01086
06/01/2030 11:59,45896.56629
06/01/2030 12:59,46508.76075
06/01/2030 13:59,46993.11063
06/01/2030 14:59,45650.25606
06/01/2030 15:59,45726.83012
06/01/2030 16:59,46487.57686
06/01/2030 17:59,50155.20829
06/01/2030 18:59,54170.91338
06/01/2030 19:59,53001.85774
06/01/2030 20:59,50420.13847
06/01/2030 21:59,48090.20003
06/01/2030 22:59,49233.14642
06/01/2030 23:59,45043.23053
07/01/2030 00:59,41583.37649
07/01/2030 01:59,40585.92465
07/01/2030 02:59,37729.94338
07/01/2030 03:59,34784.42145
07/01/2030 04:59,32359.20161
07/01/2030 05:59,30167.26094
07/01/2030 06:59,31276.34535
07/01/2030 07:59,35124.31353
07/01/2030 08:59,40803.89717
07/01/2030 09:59,43235.72098
07/01/2030 10:59,45090.56868
07/01/2030 11:59,45752.99502
07/01/2030 12:59,46119.96698
07/01/2030 13:59,46301.73381
07/01/2030 14:59,44812.96081
07/01/2030 15:59,44869.54762
07/01/2030 16:59,45782.75376
07/01/2030 17:59,49305.41204
07/01/2030 18:59,53157.44494
07/01/2030 19:59,52427.2099
07/01/2030 20:59,50272.84547
07/01/2030 21:59,47993.61959
07/01/2030 22:59,48813.63239
07/01/2030 23:59,47152.80276
08/01/2030 00:59,43259.64955
08/01/2030 01:59,42550.29904
08/01/2030 02:59,39918.14286
08/01/2030 03:59,37070.98397
08/01/2030 04:59,34742.87061
08/01/2030 05:59,32852.1151
08/01/2030 06:59,34890.93572
08/01/2030 07:59,40191.46326
08/01/2030 08:59,46614.13865
08/01/2030 09:59,49038.77703
08/01/2030 10:59,50611.19236
08/01/2030 11:59,51025.57704
08/01/2030 12:59,51244.1106
08/01/2030 13:59,51201.19197
08/01/2030 14:59,49537.09969
08/01/2030 15:59,49410.60241
08/01/2030 16:59,50124.87174
08/01/2030 17:59,52934.24405
08/01/2030 18:59,56747.84675
08/01/2030 19:59,56814.89552
08/01/2030 20:59,55006.27007
08/01/2030 21:59,52091.65984
08/01/2030 22:59,51993.66745
08/01/2030 23:59,50319.2417
09/01/2030 00:59,46636.40335
09/01/2030 01:59,45795.96753
09/01/2030 02:59,43154.10091
09/01/2030 03:59,40423.76001
09/01/2030 04:59,38119.87044
09/01/2030 05:59,36004.08865
09/01/2030 06:59,37495.88827
09/01/2030 07:59,42439.78704
09/01/2030 08:59,49346.81124
09/01/2030 09:59,51731.10207
09/01/2030 10:59,53040.31767
09/01/2030 11:59,53218.18341
09/01/2030 12:59,53272.43678
09/01/2030 13:59,53156.97674
09/01/2030 14:59,51479.2622
09/01/2030 15:59,51261.18456
09/01/2030 16:59,51606.42018
09/01/2030 17:59,54229.78753
09/01/2030 18:59,57576.4275
09/01/2030 19:59,56867.60672
09/01/2030 20:59,54742.93348
09/01/2030 21:59,52480.53609
09/01/2030 22:59,53441.02983
09/01/2030 23:59,49956.79912
10/01/2030 00:59,46460.70933
10/01/2030 01:59,45657.75402
10/01/2030 02:59,43073.23226
10/01/2030 03:59,40332.10293
10/01/2030 04:59,38045.52016
10/01/2030 05:59,36005.91967
10/01/2030 06:59,37425.80773
10/01/2030 07:59,42190.63744
10/01/2030 08:59,48765.69014
10/01/2030 09:59,50709.93725
10/01/2030 10:59,51699.16006
10/01/2030 11:59,51667.23037
10/01/2030 12:59,51627.74983
10/01/2030 13:59,51555.43205
10/01/2030 14:59,49983.58598
10/01/2030 15:59,49907.18074
10/01/2030 16:59,50464.69357
10/01/2030 17:59,53573.21034
10/01/2030 18:59,57331.63681
10/01/2030 19:59,56661.13617
10/01/2030 20:59,54345.11658
10/01/2030 21:59,51850.3795
10/01/2030 22:59,52781.23856
10/01/2030 23:59,47058.83991
11/01/2030 00:59,43356.16233
11/01/2030 01:59,42293.60926
11/01/2030 02:59,39566.03106
11/01/2030 03:59,36751.86332
11/01/2030 04:59,34436.98822
11/01/2030 05:59,32442.08707
11/01/2030 06:59,34065.811
11/01/2030 07:59,39016.92517
11/01/2030 08:59,45718.91391
11/01/2030 09:59,47591.37701
11/01/2030 10:59,48363.45342
11/01/2030 11:59,48166.07542
11/01/2030 12:59,48006.89931
11/01/2030 13:59,47837.22249
11/01/2030 14:59,46275.00867
11/01/2030 15:59,46333.97473
11/01/2030 16:59,47247.47313
11/01/2030 17:59,50910.16387
11/01/2030 18:59,54751.89888
11/01/2030 19:59,53923.7873
11/01/2030 20:59,51557.27187
11/01/2030 21:59,49225.54395
11/01/2030 22:59,50183.81339
11/01/2030 23:59,47961.10565
12/01/2030 00:59,44160.93991
12/01/2030 01:59,43298.96758
12/01/2030 02:59,40651.00452
12/01/2030 03:59,37866.98514
12/01/2030 04:59,35533.7719
12/01/2030 05:59,33423.26542
12/01/2030 06:59,34899.76752
12/01/2030 07:59,39910.02029
12/01/2030 08:59,46904.14506
12/01/2030 09:59,49248.56228
12/01/2030 10:59,50489.90233
12/01/2030 11:59,50570.603
12/01/2030 12:59,50565.29292
12/01/2030 13:59,50424.46577
12/01/2030 14:59,48739.63287
12/01/2030 15:59,48571.94188
12/01/2030 16:59,49038.05308
12/01/2030 17:59,51947.14583
12/01/2030 18:59,55612.5106
12/01/2030 19:59,55169.128
12/01/2030 20:59,53072.39509
12/01/2030 21:59,50592.80918
12/01/2030 22:59,51306.14893
12/01/2030 23:59,46725.07687
13/01/2030 00:59,44059.19355
13/01/2030 01:59,43082.4297
13/01/2030 02:59,40195.91516
13/01/2030 03:59,37330.35582
13/01/2030 04:59,34920.72503
13/01/2030 05:59,32392.33178
13/01/2030 06:59,32072.1487
13/01/2030 07:59,33688.62209
13/01/2030 08:59,38212.08244
13/01/2030 09:59,40750.43071
13/01/2030 10:59,42956.76321
13/01/2030 11:59,43853.39161
13/01/2030 12:59,44354.37083
13/01/2030 13:59,44661.77388
13/01/2030 14:59,43202.21762
13/01/2030 15:59,43228.3973
13/01/2030 16:59,43806.89494
13/01/2030 17:59,46793.98209
13/01/2030 18:59,50403.54745
13/01/2030 19:59,50147.29575
13/01/2030 20:59,48826.00132
13/01/2030 21:59,47484.86278
13/01/2030 22:59,49367.39721
13/01/2030 23:59,44228.45935
14/01/2030 00:59,42402.48979
14/01/2030 01:59,42191.81664
14/01/2030 02:59,39566.81957
14/01/2030 03:59,36732.96256
14/01/2030 04:59,34361.23002
14/01/2030 05:59,31901.0513
14/01/2030 06:59,31286.38851
14/01/2030 07:59,31663.25879
14/01/2030 08:59,34098.17471
14/01/2030 09:59,36930.73164
14/01/2030 10:59,40520.10579
14/01/2030 11:59,42657.50106
14/01/2030 12:59,44010.49757
14/01/2030 13:59,44976.16023
14/01/2030 14:59,43732.96354
14/01/2030 15:59,43696.84795
14/01/2030 16:59,44036.71921
14/01/2030 17:59,46061.14977
14/01/2030 18:59,49836.81555
14/01/2030 19:59,50314.966
14/01/2030 20:59,49370.50257
14/01/2030 21:59,47295.4548
14/01/2030 22:59,48373.92107
14/01/2030 23:59,47885.76291
15/01/2030 00:59,44104.89513
15/01/2030 01:59,43493.53093
15/01/2030 02:59,40943.27041
15/01/2030 03:59,38161.24481
15/01/2030 04:59,35865.34275
15/01/2030 05:59,33946.35418
15/01/2030 06:59,35844.75935
15/01/2030 07:59,41085.49275
15/01/2030 08:59,47600.88125
15/01/2030 09:59,49983.89947
15/01/2030 10:59,51497.88791
15/01/2030 11:59,51854.57116
15/01/2030 12:59,52045.15989
15/01/2030 13:59,52002.14063
15/01/2030 14:59,50331.52973
15/01/2030 15:59,50147.83659
15/01/2030 16:59,50668.42005
15/01/2030 17:59,53236.88049
15/01/2030 18:59,56988.30757
15/01/2030 19:59,57071.85119
15/01/2030 20:59,55255.46448
15/01/2030 21:59,52341.36645
15/01/2030 22:59,52378.09526
15/01/2030 23:59,49241.41101
16/01/2030 00:59,45898.96725
16/01/2030 01:59,45075.52805
16/01/2030 02:59,42529.68731
16/01/2030 03:59,39862.10225
16/01/2030 04:59,37643.65215
16/01/2030 05:59,35686.8715
16/01/2030 06:59,37205.29
16/01/2030 07:59,42024.28501
16/01/2030 08:59,48563.53365
16/01/2030 09:59,50203.25986
16/01/2030 10:59,50832.29435
16/01/2030 11:59,50574.69005
16/01/2030 12:59,50392.34004
16/01/2030 13:59,50264.42465
16/01/2030 14:59,48746.47248
16/01/2030 15:59,48735.77285
16/01/2030 16:59,49372.94878
16/01/2030 17:59,52594.06794
16/01/2030 18:59,56253.76099
16/01/2030 19:59,55282.37773
16/01/2030 20:59,52806.66067
16/01/2030 21:59,50473.95253
16/01/2030 22:59,51701.37668
16/01/2030 23:59,48422.3492
17/01/2030 00:59,44757.38197
17/01/2030 01:59,43993.43968
17/01/2030 02:59,41409.05481
17/01/2030 03:59,38659.42714
17/01/2030 04:59,36373.3547
17/01/2030 05:59,34343.21132
17/01/2030 06:59,35809.96164
17/01/2030 07:59,40623.32588
17/01/2030 08:59,47276.0842
17/01/2030 09:59,49482.5497
17/01/2030 10:59,50649.016
17/01/2030 11:59,50685.41636
17/01/2030 12:59,50665.01735
17/01/2030 13:59,50512.57861
17/01/2030 14:59,48830.00343
17/01/2030 15:59,48681.43323
17/01/2030 16:59,49179.58364
17/01/2030 17:59,51963.52015
17/01/2030 18:59,55727.07368
17/01/2030 19:59,55723.40617
17/01/2030 20:59,53948.97584
17/01/2030 21:59,51432.61026
17/01/2030 22:59,52034.70382
17/01/2030 23:59,49862.75998
18/01/2030 00:59,46202.09182
18/01/2030 01:59,45518.86583
18/01/2030 02:59,42993.20683
18/01/2030 03:59,40259.43635
18/01/2030 04:59,37990.2686
18/01/2030 05:59,35994.06042
18/01/2030 06:59,37485.09428
18/01/2030 07:59,42368.26695
18/01/2030 08:59,49034.83588
18/01/2030 09:59,51184.89623
18/01/2030 10:59,52296.28848
18/01/2030 11:59,52277.7198
18/01/2030 12:59,52232.67714
18/01/2030 13:59,52070.53606
18/01/2030 14:59,50379.84834
18/01/2030 15:59,50219.79502
18/01/2030 16:59,50686.87124
18/01/2030 17:59,53406.84541
18/01/2030 18:59,57283.42308
18/01/2030 19:59,57508.22562
18/01/2030 20:59,55809.00395
18/01/2030 21:59,53137.87644
18/01/2030 22:59,53589.33705
18/01/2030 23:59,49394.51327
19/01/2030 00:59,45716.65344
19/01/2030 01:59,45070.5116
19/01/2030 02:59,42557.13521
19/01/2030 03:59,39824.80518
19/01/2030 04:59,37534.80049
19/01/2030 05:59,35447.11713
19/01/2030 06:59,36743.42419
19/01/2030 07:59,41518.03573
19/01/2030 08:59,48318.65787
