Time,Total,,
01/01/2030 00:00,29940.44716,,
01/01/2030 01:00,27350.21152,,
01/01/2030 02:00,25602.10776,,
01/01/2030 03:00,23831.80126,,
01/01/2030 04:00,22782.12445,,
01/01/2030 05:00,21859.96228,,
01/01/2030 06:00,20820.9984,,
01/01/2030 07:00,21633.42696,,
01/01/2030 08:00,23354.56137,,
01/01/2030 09:00,26215.50299,,
01/01/2030 10:00,29996.1818,,
01/01/2030 11:00,33215.45326,,
01/01/2030 12:00,35439.64157,,
01/01/2030 13:00,36467.41471,,
01/01/2030 14:00,36365.61119,,
01/01/2030 15:00,35683.27063,,
01/01/2030 16:00,35147.13762,,
01/01/2030 17:00,35017.7893,,
01/01/2030 18:00,35724.75528,,
01/01/2030 19:00,33902.77435,,
01/01/2030 20:00,31048.40533,,
01/01/2030 21:00,30218.77551,,
01/01/2030 22:00,31624.01374,,
01/01/2030 23:00,31611.15474,,
02/01/2030 00:00,27722.05272,,
02/01/2030 01:00,24954.64448,,
02/01/2030 02:00,23931.03655,,
02/01/2030 03:00,22511.82198,,
02/01/2030 04:00,20863.60533,,
02/01/2030 05:00,19520.39801,,
02/01/2030 06:00,18146.45137,,
02/01/2030 07:00,17567.30054,,
02/01/2030 08:00,18769.84587,,
02/01/2030 09:00,21460.53717,,
02/01/2030 10:00,25075.79774,,
02/01/2030 11:00,29206.07032,,
02/01/2030 12:00,31737.94643,,
02/01/2030 13:00,33152.86756,,
02/01/2030 14:00,33972.79191,,
02/01/2030 15:00,33740.00347,,
02/01/2030 16:00,33666.56617,,
02/01/2030 17:00,34178.70923,,
02/01/2030 18:00,38037.85451,,
02/01/2030 19:00,40579.94316,,
02/01/2030 20:00,39353.22062,,
02/01/2030 21:00,36866.1302,,
02/01/2030 22:00,34329.85233,,
02/01/2030 23:00,31333.50872,,
03/01/2030 00:00,33226.01792,,
03/01/2030 01:00,30712.83323,,
03/01/2030 02:00,29752.17652,,
03/01/2030 03:00,28533.73905,,
03/01/2030 04:00,27173.21142,,
03/01/2030 05:00,26138.53079,,
03/01/2030 06:00,25319.07321,,
03/01/2030 07:00,25650.86591,,
03/01/2030 08:00,27464.3312,,
03/01/2030 09:00,29852.11112,,
03/01/2030 10:00,32449.20769,,
03/01/2030 11:00,35223.66542,,
03/01/2030 12:00,36882.80472,,
03/01/2030 13:00,37776.18362,,
03/01/2030 14:00,38167.24234,,
03/01/2030 15:00,37890.75663,,
03/01/2030 16:00,37895.53503,,
03/01/2030 17:00,38610.1947,,
03/01/2030 18:00,41992.60037,,
03/01/2030 19:00,44063.46184,,
03/01/2030 20:00,43313.64843,,
03/01/2030 21:00,41509.50355,,
03/01/2030 22:00,39403.8045,,
03/01/2030 23:00,36667.87233,,
04/01/2030 00:00,35336.11738,,
04/01/2030 01:00,31919.2547,,
04/01/2030 02:00,30794.19853,,
04/01/2030 03:00,29539.73679,,
04/01/2030 04:00,28051.81692,,
04/01/2030 05:00,26951.94151,,
04/01/2030 06:00,26314.60822,,
04/01/2030 07:00,27606.36461,,
04/01/2030 08:00,31257.5652,,
04/01/2030 09:00,35040.97352,,
04/01/2030 10:00,37612.46933,,
04/01/2030 11:00,39915.63445,,
04/01/2030 12:00,41114.04313,,
04/01/2030 13:00,41707.95257,,
04/01/2030 14:00,41843.47932,,
04/01/2030 15:00,41449.13922,,
04/01/2030 16:00,41483.34096,,
04/01/2030 17:00,42504.93538,,
04/01/2030 18:00,46576.32539,,
04/01/2030 19:00,49114.27345,,
04/01/2030 20:00,48399.80553,,
04/01/2030 21:00,46146.12666,,
04/01/2030 22:00,43293.36003,,
04/01/2030 23:00,39637.01367,,
05/01/2030 00:00,34979.49514,,
05/01/2030 01:00,32122.60079,,
05/01/2030 02:00,31189.55155,,
05/01/2030 03:00,30173.73231,,
05/01/2030 03:59,28880.69196,,
05/01/2030 04:59,27875.02192,,
05/01/2030 05:59,27110.22637,,
05/01/2030 06:59,27728.08306,,
05/01/2030 07:59,30947.90101,,
05/01/2030 08:59,34958.84152,,
05/01/2030 09:59,37010.20331,,
05/01/2030 10:59,38783.00378,,
05/01/2030 11:59,39570.94801,,
05/01/2030 12:59,39962.69724,,
05/01/2030 13:59,40162.1322,,
05/01/2030 14:59,39892.0114,,
05/01/2030 15:59,39901.16223,,
05/01/2030 16:59,40513.95881,,
05/01/2030 17:59,44553.71343,,
05/01/2030 18:59,47152.97266,,
05/01/2030 19:59,45849.7713,,
05/01/2030 20:59,42977.08876,,
05/01/2030 21:59,40176.2044,,
05/01/2030 22:59,37373.56227,,
05/01/2030 23:59,35261.22787,,
06/01/2030 00:59,31698.79135,,
06/01/2030 01:59,30422.94634,,
06/01/2030 02:59,29064.03279,,
06/01/2030 03:59,27459.04201,,
06/01/2030 04:59,26211.76811,,
06/01/2030 05:59,25251.4166,,
06/01/2030 06:59,25986.52432,,
06/01/2030 07:59,29472.84182,,
06/01/2030 08:59,33850.52051,,
06/01/2030 09:59,36717.40404,,
06/01/2030 10:59,39296.12805,,
06/01/2030 11:59,40595.95502,,
06/01/2030 12:59,41243.59286,,
06/01/2030 13:59,41506.27133,,
06/01/2030 14:59,41148.32072,,
06/01/2030 15:59,41177.0781,,
06/01/2030 16:59,42094.79908,,
06/01/2030 17:59,46716.15158,,
06/01/2030 18:59,49515.45879,,
06/01/2030 19:59,48145.6206,,
06/01/2030 20:59,45200.18731,,
06/01/2030 21:59,42258.34251,,
06/01/2030 22:59,38846.65984,,
06/01/2030 23:59,34121.3694,,
07/01/2030 00:59,30114.68527,,
07/01/2030 01:59,28723.02948,,
07/01/2030 02:59,27346.67262,,
07/01/2030 03:59,25768.79523,,
07/01/2030 04:59,24587.23121,,
07/01/2030 05:59,23884.65185,,
07/01/2030 06:59,25411.9944,,
07/01/2030 07:59,29881.766,,
07/01/2030 08:59,34758.44581,,
07/01/2030 09:59,37507.58297,,
07/01/2030 10:59,39579.32828,,
07/01/2030 11:59,40480.24622,,
07/01/2030 12:59,40849.50036,,
07/01/2030 13:59,40772.34592,,
07/01/2030 14:59,40250.60044,,
07/01/2030 15:59,40255.57013,,
07/01/2030 16:59,41342.36232,,
07/01/2030 17:59,45805.52099,,
07/01/2030 18:59,48425.4349,,
07/01/2030 19:59,47536.36312,,
07/01/2030 20:59,45059.0858,,
07/01/2030 21:59,42166.57011,,
07/01/2030 22:59,38388.2692,,
07/01/2030 23:59,37136.66188,,
08/01/2030 00:59,32648.72049,,
08/01/2030 01:59,31618.23174,,
08/01/2030 02:59,30521.1776,,
08/01/2030 03:59,29066.69737,,
08/01/2030 04:59,28003.69173,,
08/01/2030 05:59,27658.95626,,
08/01/2030 06:59,30255.45932,,
08/01/2030 07:59,36405.57066,,
08/01/2030 08:59,42126.53926,,
08/01/2030 09:59,44843.42856,,
08/01/2030 10:59,46587.95187,,
08/01/2030 11:59,47204.09274,,
08/01/2030 12:59,47407.7612,,
08/01/2030 13:59,47082.0648,,
08/01/2030 14:59,46362.87768,,
08/01/2030 15:59,46153.32279,,
08/01/2030 16:59,46991.96238,,
08/01/2030 17:59,50612.5847,,
08/01/2030 18:59,53223.33598,,
08/01/2030 19:59,53291.96204,,
08/01/2030 20:59,51209.6075,,
08/01/2030 21:59,47529.58119,,
08/01/2030 22:59,42664.45274,,
08/01/2030 23:59,40803.67703,,
09/01/2030 00:59,36549.42579,,
09/01/2030 01:59,35371.91125,,
09/01/2030 02:59,34262.97685,,
09/01/2030 03:59,32938.74641,,
09/01/2030 04:59,31898.60239,,
09/01/2030 05:59,31294.73709,,
09/01/2030 06:59,33269.95256,,
09/01/2030 07:59,39021.26793,,
09/01/2030 08:59,45299.31755,,
09/01/2030 09:59,47981.92498,,
09/01/2030 10:59,49441.08923,,
09/01/2030 11:59,49799.06549,,
09/01/2030 12:59,49822.50057,,
09/01/2030 13:59,49417.4168,,
09/01/2030 14:59,48682.63091,,
09/01/2030 15:59,48367.53948,,
09/01/2030 16:59,48783.51709,,
09/01/2030 17:59,52185.0103,,
09/01/2030 18:59,54270.02507,,
09/01/2030 19:59,53472.1153,,
09/01/2030 20:59,51039.47272,,
09/01/2030 21:59,48094.91606,,
09/01/2030 22:59,44424.12552,,
09/01/2030 23:59,39060.80248,,
