MARGINAL GENERATION TYPES
Time,Marginal supply,Offshore wind,Onshore wind
18/02/2025 19:00,Natural Gas,0,0
18/02/2025 20:00,Natural Gas,0,0
18/02/2025 21:00,Natural Gas,0,0
18/02/2025 22:00,Natural Gas,0,0
18/02/2025 23:00,Natural Gas,0,0
19/02/2025 00:00,Natural Gas,0,0
19/02/2025 01:00,Natural Gas,0,0
19/02/2025 02:00,Natural Gas,0,0
19/02/2025 03:00,Natural Gas,0,0
19/02/2025 04:00,Natural Gas,0,0
19/02/2025 05:00,Natural Gas,0,0
19/02/2025 06:00,Natural Gas,0,0
19/02/2025 07:00,Natural Gas,0,0
19/02/2025 08:00,Natural Gas,0,0
19/02/2025 09:00,Natural Gas,0,0
19/02/2025 10:00,Natural Gas,0,0
19/02/2025 11:00,Natural Gas,0,0
19/02/2025 12:00,Natural Gas,0,0
19/02/2025 13:00,Natural Gas,0,0
19/02/2025 14:00,Natural Gas,0,0
19/02/2025 15:00,Natural Gas,0,0
19/02/2025 16:00,Natural Gas,0,0
19/02/2025 17:00,Natural Gas,0,0
19/02/2025 18:00,Natural Gas,0,0
19/02/2025 19:00,Natural Gas,0,0
19/02/2025 20:00,Coal,0,0
19/02/2025 21:00,Natural Gas,0,0
19/02/2025 22:00,Natural Gas,0,0
19/02/2025 23:00,Natural Gas,0,0
20/02/2025 00:00,Natural Gas,0,0
20/02/2025 01:00,Natural Gas,0,0
20/02/2025 02:00,Natural Gas,0,0
20/02/2025 03:00,Natural Gas,0,0
20/02/2025 04:00,Natural Gas,0,0
20/02/2025 05:00,Natural Gas,0,0
20/02/2025 06:00,Natural Gas,0,0
20/02/2025 07:00,Natural Gas,0,0
20/02/2025 08:00,Natural Gas,0,0
20/02/2025 09:00,Natural Gas,0,0
20/02/2025 10:00,Natural Gas,0,0
20/02/2025 11:00,Natural Gas,0,0
20/02/2025 12:00,Natural Gas,0,0
20/02/2025 13:00,Natural Gas,0,0
20/02/2025 14:00,Natural Gas,0,0
20/02/2025 15:00,Natural Gas,0,0
20/02/2025 16:00,Natural Gas,0,0
20/02/2025 17:00,Natural Gas,0,0
20/02/2025 18:00,Natural Gas,0,0
20/02/2025 19:00,Natural Gas,0,0
20/02/2025 20:00,Natural Gas,0,0
20/02/2025 21:00,Natural Gas,0,0
20/02/2025 22:00,Natural Gas,0,0
20/02/2025 23:00,Natural Gas,0,0
21/02/2025 00:00,Natural Gas,0,0
21/02/2025 01:00,Natural Gas,0,0
21/02/2025 02:00,Natural Gas,0,0
21/02/2025 03:00,Natural Gas,0,0
21/02/2025 04:00,Natural Gas,0,0
21/02/2025 05:00,Natural Gas,0,0
21/02/2025 06:00,Natural Gas,0,0
21/02/2025 07:00,Natural Gas,0,0
21/02/2025 08:00,Natural Gas,0,0
21/02/2025 09:00,Natural Gas,0,0
21/02/2025 10:00,Natural Gas,0,0
21/02/2025 11:00,Natural Gas,0,0
21/02/2025 12:00,Natural Gas,0,0
21/02/2025 13:00,Natural Gas,0,0
21/02/2025 14:00,Natural Gas,0,0
21/02/2025 15:00,Natural Gas,0,0
21/02/2025 16:00,Natural Gas,0,0
21/02/2025 17:00,Natural Gas,0,0
21/02/2025 18:00,Natural Gas,0,0
21/02/2025 19:00,Natural Gas,0,0
21/02/2025 20:00,Natural Gas,0,0
21/02/2025 21:00,Natural Gas,0,0
21/02/2025 22:00,Natural Gas,0,0
21/02/2025 23:00,Natural Gas,0,0
22/02/2025 00:00,Natural Gas,0,0
22/02/2025 01:00,Natural Gas,0,0
22/02/2025 02:00,Natural Gas,0,0
22/02/2025 03:00,Natural Gas,0,0
22/02/2025 04:00,Natural Gas,0,0
22/02/2025 05:00,Natural Gas,0,0
22/02/2025 06:00,Natural Gas,0,0
22/02/2025 07:00,Natural Gas,0,0
22/02/2025 08:00,Natural Gas,0,0
22/02/2025 09:00,Natural Gas,0,0
22/02/2025 10:00,Natural Gas,0,0
22/02/2025 11:00,Natural Gas,0,0
22/02/2025 12:00,Natural Gas,0,0
22/02/2025 13:00,Natural Gas,0,0
22/02/2025 14:00,Natural Gas,0,0
22/02/2025 15:00,Natural Gas,0,0
22/02/2025 16:00,Natural Gas,0,0
22/02/2025 17:00,Natural Gas,0,0
22/02/2025 18:00,Natural Gas,0,0
22/02/2025 19:00,Natural Gas,0,0
22/02/2025 20:00,Natural Gas,0,0
22/02/2025 21:00,Natural Gas,0,0
22/02/2025 22:00,Natural Gas,0,0
22/02/2025 23:00,Natural Gas,0,0
23/02/2025 00:00,Natural Gas,0,0
23/02/2025 01:00,Natural Gas,0,0
23/02/2025 02:00,Natural Gas,0,0
23/02/2025 03:00,Natural Gas,0,0
23/02/2025 04:00,Natural Gas,0,0
23/02/2025 05:00,Natural Gas,0,0
23/02/2025 06:00,Natural Gas,0,0
23/02/2025 07:00,Natural Gas,0,0
23/02/2025 08:00,Natural Gas,0,0
23/02/2025 09:00,Natural Gas,0,0
23/02/2025 10:00,Natural Gas,0,0
23/02/2025 11:00,Natural Gas,0,0
23/02/2025 12:00,Natural Gas,0,0
23/02/2025 13:00,Natural Gas,0,0
23/02/2025 14:00,Natural Gas,0,0
23/02/2025 15:00,Natural Gas,0,0
23/02/2025 16:00,Natural Gas,0,0
23/02/2025 17:00,Natural Gas,0,0
23/02/2025 18:00,Natural Gas,0,0
23/02/2025 19:00,Natural Gas,0,0
23/02/2025 20:00,Natural Gas,0,0
23/02/2025 21:00,Natural Gas,0,0
23/02/2025 22:00,Natural Gas,0,0
23/02/2025 23:00,Natural Gas,0,0
24/02/2025 00:00,Natural Gas,0,0
24/02/2025 01:00,Natural Gas,0,0
24/02/2025 02:00,Natural Gas,0,0
24/02/2025 03:00,Natural Gas,0,0
24/02/2025 04:00,Natural Gas,0,0
24/02/2025 05:00,Natural Gas,0,0
24/02/2025 06:00,Natural Gas,0,0
24/02/2025 07:00,Natural Gas,0,0
24/02/2025 08:00,Natural Gas,0,0
24/02/2025 09:00,Natural Gas,0,0
24/02/2025 10:00,Natural Gas,0,0
24/02/2025 11:00,Natural Gas,0,0
24/02/2025 12:00,Natural Gas,0,0
24/02/2025 13:00,Natural Gas,0,0
24/02/2025 14:00,Natural Gas,0,0
24/02/2025 15:00,Natural Gas,0,0
24/02/2025 16:00,Natural Gas,0,0
24/02/2025 17:00,Natural Gas,0,0
24/02/2025 18:00,Natural Gas,0,0
24/02/2025 19:00,Natural Gas,0,0
24/02/2025 20:00,Natural Gas,0,0
24/02/2025 21:00,Natural Gas,0,0
24/02/2025 22:00,Natural Gas,0,0
24/02/2025 23:00,Natural Gas,0,0
25/02/2025 00:00,Natural Gas,0,0
25/02/2025 01:00,Natural Gas,0,0
25/02/2025 02:00,Natural Gas,0,0
25/02/2025 03:00,Natural Gas,0,0
25/02/2025 04:00,Natural Gas,0,0
25/02/2025 05:00,Natural Gas,0,0
25/02/2025 06:00,Natural Gas,0,0
25/02/2025 07:00,Natural Gas,0,0
25/02/2025 08:00,Natural Gas,0,0
25/02/2025 09:00,Natural Gas,0,0
25/02/2025 10:00,Natural Gas,0,0
25/02/2025 11:00,Natural Gas,0,0
25/02/2025 12:00,Natural Gas,0,0
25/02/2025 13:00,Natural Gas,0,0
25/02/2025 14:00,Natural Gas,0,0
25/02/2025 15:00,Natural Gas,0,0
25/02/2025 16:00,Natural Gas,0,0
25/02/2025 17:00,Natural Gas,0,0
25/02/2025 18:00,Natural Gas,0,0
25/02/2025 19:00,Natural Gas,0,0
25/02/2025 20:00,Natural Gas,0,0
25/02/2025 21:00,Natural Gas,0,0
25/02/2025 22:00,Natural Gas,0,0
25/02/2025 23:00,Natural Gas,0,0
26/02/2025 00:00,Natural Gas,0,0
26/02/2025 01:00,Natural Gas,0,0
26/02/2025 02:00,Natural Gas,0,0
26/02/2025 03:00,Natural Gas,0,0
26/02/2025 04:00,Natural Gas,0,0
26/02/2025 05:00,Natural Gas,0,0
26/02/2025 06:00,Natural Gas,0,0
26/02/2025 07:00,Natural Gas,0,0
26/02/2025 08:00,Natural Gas,0,0
26/02/2025 09:00,Natural Gas,0,0
26/02/2025 10:00,Natural Gas,0,0
26/02/2025 11:00,Natural Gas,0,0
26/02/2025 12:00,Natural Gas,0,0
26/02/2025 13:00,Natural Gas,0,0
26/02/2025 14:00,Natural Gas,0,0
